ResponsibleID,ResponsibleName,Role,Team,AreaID
R001,Responsable Minero Sintético 01,Coordinador de Parada Planta,Turno C,A001
R002,Responsable Minero Sintético 02,Ingeniero de Mantenimiento Planta,Turno B,A004
R003,Responsable Minero Sintético 03,Ingeniero de Producción,Turno A,A011
R004,Responsable Minero Sintético 04,Ingeniero de Automatización,Guardia Planta,A012
R005,Responsable Minero Sintético 05,Supervisor de Molienda,Turno B,A009
R006,Responsable Minero Sintético 06,Ingeniero de Automatización,Turno B,A015
R007,Responsable Minero Sintético 07,Analista de Costos Operacionales,Guardia Planta,A016
R008,Responsable Minero Sintético 08,Ingeniero de Producción,Backoffice Mina,A003
R009,Responsable Minero Sintético 09,Ingeniero de Producción,Guardia Planta,A017
R010,Responsable Minero Sintético 10,Especialista OT,Backoffice Mina,A011
R011,Responsable Minero Sintético 11,Analista de Energía,Backoffice Mina,A011
R012,Responsable Minero Sintético 12,Analista Dispatch,Turno C,A002
R013,Responsable Minero Sintético 13,Planificador de Mantenimiento,Guardia Planta,A011
R014,Responsable Minero Sintético 14,Planificador de Mantenimiento,Turno B,A013
R015,Responsable Minero Sintético 15,Supervisor de Operaciones Mina,Turno C,A010
R016,Responsable Minero Sintético 16,Supervisor de Chancado,Turno C,A002
R017,Responsable Minero Sintético 17,Ingeniero de Confiabilidad,Backoffice Mina,A009
R018,Responsable Minero Sintético 18,Ingeniero de Mantenimiento Planta,Backoffice Mina,A016
R019,Responsable Minero Sintético 19,Analista Dispatch,Turno C,A013
R020,Responsable Minero Sintético 20,Especialista OT,Guardia Planta,A003
R021,Responsable Minero Sintético 21,Ingeniero de Mantenimiento Planta,Turno B,A017
R022,Responsable Minero Sintético 22,Analista Dispatch,Backoffice Mina,A017
R023,Responsable Minero Sintético 23,Ingeniero HSE,Turno C,A003
R024,Responsable Minero Sintético 24,Supervisor de Operaciones Mina,Turno C,A014
R025,Responsable Minero Sintético 25,Supervisor de Molienda,Guardia Planta,A007
R026,Responsable Minero Sintético 26,Supervisor de Molienda,Guardia Planta,A011
R027,Responsable Minero Sintético 27,Ingeniero de Automatización,Turno A,A008
R028,Responsable Minero Sintético 28,Supervisor de Molienda,Turno B,A014
R029,Responsable Minero Sintético 29,Coordinador de Parada Planta,Turno A,A017
R030,Responsable Minero Sintético 30,Supervisor de Molienda,Guardia Planta,A014
